name,desc,keywords
"Wwg Worldwide Games","Publisher of browser games for game developers and content provider for media companies. The company\'s products are browser games like Rage of Storms, Desert Blitz, Nemexia, Kiez King and Pirates of Tortuga 2.","""browser game"" ""game developer"" ""online gaming"""
"Revere Digital","Provider of online media services. The company offers news, reviews, events and analysis from journalists in technology and media.","""media service"" ""technology news"" ""media content"""
"BioBehavioral Diagnostics","Developer of diagnostic systems for the quantitative assessment of behavioral and neurobiological disorders. The company develops and markets a proprietary platform technology to objectively measure specific behaviors that correlate with brain function and deficits in inhibitory control.","""diagnostic system"" ""neurobiological disorder"" ""psychiatric condition"""
"Discovery Bay Games","Provider of iOS accessories and supporting applications. The company develops content for tablet play experiences.","""iOS accessory"" ""multi player game"" ""gaming application"" ""game accessory"" ""tablet accessory"" ""iPad accessory"""
"Architel","Provider of archiving for paper and digital documents. The company offers data base filing and paper document management services.","archiving ""digital documents"" filing"
"Kalistick","Developer of quality management tool. The company provides its user with a quality management tool to implement best practices from various software development communities into a capability Maturity Model Integration (CMMI) process.","""test optimization"" ""agile testing"" ""testing platform"" ""software testing"""
"Viridis Diagnostics","Manufacturer of diagnostic tools and equipments. The company develops real time medical devices for infectious diseases.","""diagnostic tools"" ""medical devices"" ""diagnostic equipments"""
"Caliopa","Developer of optical transceivers for the data and telecommunication markets. The company is a spin-off of the Photonics Research Group of Ghent University and imec.","""optical transceivers"" ""silicon photonics"" ""telecommunication markets"" ""connectivity products"""
"SenSage","Provider of enterprise event data warehouse technology for security, compliance, call detail records data retention, data retrieval and systems management. The company offers enterprise security analytics software that provides a log management platform, for event collection, retention and analysis to automate compliance reporting, investigation and security decision support processes.","""data warehouse"" ""log management platform"" ""data management architecture"" ""log management"" ""system management"" ""security process"" ""compliance reporting"""
"UltraCell","Developer and seller of integrated fuel cell systems. The company provides portable power source for computing, communications and sensing devices.","""fuel cell"" ""portable power"" ""sensing device"""
"Cloudsmith","Provider of services to create and share software from a global cloud of components. The company offers a web service that defines stacks (dependencies) from a cloud of shared packages, extended to include private components. It also allows the users to share and install these stacks wherever they want directly from the cloud.","""shared package"" ""software sharing service"" ""web service"""
"Qlayer","Provider of datacenter, combining server, networking and storage infrastructure virtualization software. The company offers solutions for virtual datacenter automation, storage and volume management and also provides virtual disks to servers and to external consumers.","""virtual disk"" datacenter virtualization"
"Apollo BioPharmaceutics","Developer of drugs that protect brain cells from damage caused by disease, injury and aging. The company\'s target applications include the treatment of Alzheimer\'s disease, Parkinson\'s disease, brain damage resulting from stroke and other age-related diseases and conditions.","biotechnology ""life science"" ""Alzheimer\'s disease"" ""Parkinson\'s disease"""
"ENEA","Supplier of energy in Poland. The company engages in electricity generation, distribution and trading and offers energy for home and business.","""energy supply"" ""electricity generation"" ""electricity distribution"""
"Unique Development Studios","Provider of a game-development studio. The company developed video and computer games for PCs, Sony PlayStation and Atari, among other devices.","""game development"" ""publishing service"" ""gaming studio"""
"Vitalink Communications","Manufacturer of data networking products. The company sells routers and other networking products. Its systems are used to build computer networks.","router"
"Watchfire","Provides online risk management, security and compliance testing software.","""risk management"" ""security testing"" ""compliance testing"" ""online risk"" ""online security"""
"Hive Media","Provider of media development services. The company offers media development services, creation of graphic designs, illustrations, concept art and technology consulting.","""media development service"" ""graphic design"" ""concept art"""
"Aventail","Provider of secure sockets layer virtual private network remote access technology. The company provides secure sockets layer virtual private networks (SSL VPN) appliances.","""virtual private network"" ""secure socker layer"" ""remote access"""
"Textiel Vlaanderen","Provider of venture and development capital to textile companies. The company primarily focuses on providing development funding to the textile companies to help them grow their businesses.","""textile investor"" ""venture capital"" ""venture funding"" ""development capital"" ""development investor"""
"Brandalley","Operator of an online outlet. The company markets a selection of items at a discounted price, which include clothing, shoes, accessories, leather goods, furniture, jewelry and homeware from past collections, surplus stocks or cancelled orders.","""online outlet"" ""online retail shopping"" ""leather good"""
"Mekanist","Developer of a shopping software platform. The company has developed a software platform for consumers to buy goods and services on the internet.","""shopping software"" ""online shop"" ""buy online"""
"Kiwatch","Developer of video-monitoring surveillance platform. The company develops a platform which allows for WiFi video monitoring of premises through computer or smartphone.","""video monitoring"" ""home security"" ""Electronic Component"""
"Audax Health Solutions","Provider of personalized heath management support system. The company provides a platform to users to develop a personalized lifestyle plans, connect and compete with others, track progress towards goals and earn rewards with the objective of adopting a healthier lifestyle.","""management information"" ""healthcare information"" ""information integration"" ""community building"""
"ALUmonte Technologiefortschritt in Aluminium","Operator of aluminum melting plants. The company processes its alloys and aluminum scrap through an oxidation and salt-free melting process that removes miscellaneous impurities.","""oxidation-free remelting"" ""miscellaneous impurity"" ""aluminum-melting plant"" ""clean aluminum"" metallurgy"
"Pheedo","Operator of an advertising network and ad-delivery platform. The company provides tools that enable individuals, organizations and corporations to promote, analyze and optimize advertising in their weblogs and syndicated content feeds.","""advertising network"" ""ad-delivery"" weblogs"
"Windy Hill Medical","Developer of medical devices to reduce the risk of developing breast cancer in high risk patients. The company intends to develop intraductal therapy for the prevention of breast cancer.","""breast cancer"""
"Lefora","Provider of a platform that allows members to create public and private forums and add videos and photos. The company allows members to create animal, automotive, business and professional, computer and Internet, culture and community.","""public forum"" ""private forum"" ""web discussion"" ""online forum"""
"NetCell","Developer of host adapter storage acceleration silicon devices for the ATA and SATA host bus adapter, server, PC, workstation and embedded storage markets.","""silicon device"" ""storage market"" workstation"
"Cool Power Products","Manufacturer and marketer of a load-controller device for alternative power sources. The company manufactures energy & micro-generator managers (EMMAs), supplying them to resellers. The device is designed for use with new and existing grid-connected generators, from domestic to large-scale solar photovoltaic (PV) arrays, wind turbines and hydro turbines.","""solar electricity"" micro-generator EMMA electricity"
"Indocs","Provider of an application service provider for the printing and publishing industries. The company enables marketing staff, designers, and print houses to edit, manage, and produce graphically-enhanced documents online.","""application service provider"" ""online documentation"" publishing"
"Cadabra Design Automation","Provider of automated transistor layout (ATL) tools. The company provides automated transistor layout (ATL) tools for the creation of cells used in the standard cell and semi-custom IC design process. The company\'s customer base includes semiconductor vendors, leading fabless semiconductor companies, and third-party library vendors.","""automated transistor tools"" semiconductor"
"VoteIt","Provider of online group decisions. The company provides real-time consensus-generator that uses community interaction and polling methodologies to move groups quickly and right into action.","""online group decision"" ""polling methodology"" ""information service"" ""community interaction"""
"Oxford Immunotec Global","Manufacturer and marketer of T Cell based diagnostic test products and services for the laboratories and clinicians. The company\'s product is the \'T-SPOT.TB\' test, the new cellular blood test for the detection of active and latent tuberculosis infection.","""blood test"" ""tuberculosis infection"" ""blood sample"" ""tuberculosis diagnosis"""
"Activiomics","Developer of biomarker technology. The company has developed a suite of label-free mass spectrometry technologies enabling it to identify and quantify, directly from clinical samples, proteins and phosphoproteins that correlate with the progression of disease and/or the administration of drugs. The company is applying its technologies to the establishment of a pipeline of biomarker assets comprising the identified proteins and phosphoproteins along with their companion diagnostic antibody reagents. The company also partners with the pharmaceutical and biotechnology industry to provide drug profiling and drug mode of action information.","""drug biomarkers"" ""proprietory technology"" oncology"
"Cardstore","Operator of a platform that enables to design and message personalized greeting cards and invitations. The company offers the users to add customized photos and personalized messages to cards. The company provides business marketing services that include online greeting card and postcard, photo-card creation and presentation editing tools.","e-commerce ""personalized greeting cards"" ""customized photos"" ""business marketing"" ""online greeting cards"""
"Margi Systems","Provider of multimedia products for mobile systems. The company develops products in the areas of video capture, TV capture, video conferencing, DVD decoding, DVD authoring, personal video headsets and display adapters.","""multimedia product"" ""video capture"" ""personal video headset"" ""sound peripherals"" ""electronic parts"""
"AppAssure Software","Developer of backup, disaster protection and recovery software applications for Microsoft Exchange and BlackBerry environments. The company offers Virtual Recovery Accelerator, a disaster recovery solution that enables organizations to protect messaging environment workloads; Recovery Accelerator, which enables organizations to accelerate the recoveries of messaging environments and Replay agents that provide protection for Windows application servers. It also provides Data Store Manager, a software package for browsing, recovering, searching, exporting and analyzing e-mail and mailbox content directly from various unmounted Microsoft Exchange data stores; Exchange Observer, a tool that monitors and reports the health and status of exchange servers and data stores and DocRetriever for SharePoint, which provides multiple document, item, site, sub-site and folder restores without requiring a SharePoint recovery farm.","""recovery software"" ""disaster protection"" ""backup application"" ""data storage"" ""server monitor"""
"Career Rewards","Provider of internet based referral recruiting services. The company\'s referral recruiting product allows employers to reach new sources of candidates by combining the hiring technique of personal referrals with internet technology.","""recruiting services"" ""hiring technique"" ""employment agency"""
"Bigfoot Interactive","Developer and provider of marketing analytic tools. The company provides market data, market analytic and strategy, social campaign and email plans as marketing tools.",
"Eplication","Manufacturer of content acceleration appliances for network infrastructure applications. The company provides provide instant access to business critical applications, including enterprise wide customer relationship management and enterprise resource planning hosted on local and wide area networks.","""network infrastructure"" ""business software"" ""content acceleration"""
"AFx","Provider of microwave surgical cardiac ablation technology. The company has developed a proprietary technology that allows surgeons to apply microwave energy to the surface of the heart.","""cardiac ablation technology"" ""microwave energy"" ""heart surface"""
"Avenda Systems","Provider of network access solutions for user and endpoint authentication and posture assessment. The company offers trust and identity policy solutions for enterprises and government organizations internationally. It also provides a proactive resource management solution that secures networks and organizations from threats before the user gains access.","""network access"" ""endpoint authentication"" ""posture assessment"" ""identity policy"" ""management solution"""
"IPET Holdings","Provider of products and services for the pets. The company offers pet accessories and supplies to the consumers over internet.","""pet products"" ""pet accessories"" ""consumer products"""
"GraphDive","Provider of a data analytic and personalization platform. The company provides online businesses with integrated social data from platforms such as Facebook to deliver insights into their users\' top interests and key demographic data- age, education, income and relationship status.","""social data"" ""e-commerce service"" ""e-commerce content"" API ""social API"" ""data analysis"""
"Instructure","Provider of a cloud-based learning management system. The company offers tools for instructors and students that are designed to integrate drag-and-drop file uploaders, HTML 5 video, automatic speech-to-text conversion applications, as well as Web 2.0 tools and social media platforms. It also provides an index of online courses.","""learning management system"" ""education technology"" ""education software"""
"Hanza","Manufacturer of industrial products. The company provides mechanical, electronics, cable harnesses and final assembly products for industrial uses.","""industrial product"" ""assembly product"" ""cable harness"""
"Momo","Provider of a location-based social networking application. The company provides a free platform enabling users to communicate through voice, photos and text, while being aware of real-time distance between themselves and the person they\'re messaging.","""navigation system"" ""GPS tracker"" ""global positioning system"" ""social networking application"""
"Snaptalent","Operator of a job advertisement network. The company\'s network detect the IP addresses of website visitors and attempt to identify whether they work for a particular company or attend a particular university.","""job advertisement"" ""IP address detection"" ""job information"" job"
"Fidelica Microsystems","Developer of fingerprint imaging and authentication technology. The company develops biometric technology for electronic security, access and transaction control.","""fingerprint image"" ""biometrics technology"" ""electronic security"" ""smart card"" ""fingerprint sensor"""
"Mblox (Premium SMS Business)","Provider of SMS services. The company provides mobile payment services in the U.S., U.K., Ireland and Australia.","""Premium SMS"" message ""SMS messages"" ""paid text message"" ""text message"""
"Greenbox Technology","Provider of Web-based energy management solutions for the utilities and residential energy customers. The company\'s platform enables its customers to track, compare, and manage energy usage, as well as engages them in energy efficiency, demand response, alternative and renewable energy, and carbon reduction activities.","""energy management"" ""energy utility"" ""energy usage"" ""energy efficiency"" ""carbon reduction"""
"NORM Research & Consulting","Developer of an internet based tool for the analysis of consumer decision-making at the point of purchase, using virtual store environments. The company is an independent research and consultancy firm specialized in understanding and predicting consumer and shopper behavior.","""productivity software"" ""internet based tool"" ""shopper behavior"""
"New River Innovation","Provider of taxation software solutions. The company uses its post-filing tax technology and engages in development of web-based software solutions.","tax ""software solution"" ""taxation software"""
"Clear Technology","Provider of task and process automation services.","""process automation"" ""task automation"""
"LittleCast","Provider of an eCommerce platform for video producers and their audiences. The company allows its users to sell their videos directly to audiences on Facebook and mobile devices using mobile applications and web platform.","""eCommerce platform"" ""video distribution"" ""mobile video sale"""
"GoNabit","Operator of online shopping platform. The company provides an e-commerce platform which connects buyers and sellers, and offers discounted products for a limited period of time.","""group buying"" ""daily deals"" ""online marketing"""
"Pixium Vision","Developer of technology to treat blindness. The company is the developer of IRIS retinal implant system, designed to replace the function of photoreceptors in the retina which are damaged by retinal dystrophy and macular degeneration.","""retinal dystrophy"" ""data processing"" electrode ""retina blindness"" ""retinal implant"""
"TuneCore","Distributor of online digital music, film and video. The company offers music delivery and distribution services to online stores. It also provides mastering, t-shirts, ad placements, billboard musician’s guide, billboard talent and touring directory, posters, stickers, music copyrights, trending reports and professional mixing services.","""digital music"" ""online video"" ""music delivery"" ""professional mixing"""
"Pavilion Technologies","Provider of a model-based software for the manufacturing industry. The company offers advanced process control, production optimization and environmental compliance solutions to a wide range of industries globally. The company provides technology solutions and real-time environmental management solutions through its software platform, Pavilion8.","""environmental services"" ""modular software"" ""optimization services"""
"Metallied Powder Solutions","Manufacturer of gas-atomised metal powders, such as stainless steels and other specialty alloys for tooling and mechanical component markets. The company specialises in small batches of tailor made fine powders available in a wide range of alloys with the help of its powder atomisation equipment. The company was spun out of CEIT-IK4.","""metal powders"" ""stainless steels"" ""powder atomisation equipment"""
"Accel Semiconductor","Developer and provider of analog and mixed signal Integrated Chips (IC). The company\'s product lines include consumer wireless communication chips and consumer electronics chips using deep submicron (0.18um or smaller) complementary metal-oxide semiconductor (CMOS) or BiCMOS technologies.","""wireless communication chip"" ""electronic chip"" ""analog wireless communication"""
"Ecowat","Provider and developer of water purification technologies and products. The company applies gas hydrate crystallization as a method to purify industrial waste water. It also provides water recycling services.","""water recycling service"" ""water purification"" ""gas hydrate crystallization"""
"Dimension Therapeutics","Developer of gene therapies for rare diseases. The company develops novel treatment and focus on advancing its platform of gene therapy programs in rare diseases through clinical development, starting with lead programs in hemophilia and building out a world-class product engine for adeno-associated virus (AAV) therapeutics.","""novel treatment"" ""gene therapy"" ""clinical development"""
"nMotion Technologies","Provider of an online marketing service. The company provides a marketplace for individual digital out-of-home networks to sell ad space on their screen networks and connect with interested advertisers.","""IT Services"""
"LOCKON","Provider of a marketing automation platform. The company engages in planning, development and sales of software for e-commerce and online advertisement.",
"BioFuelBox","Provider of a process that treats the lipid content of municipal wastewater and municipal FOG. The company also serves fuel distributors and blenders, and high-volume fuel users.","""municipal wastewater"" ""algae paste"" ""waste fat"" ""air flotation waste"""
"Aequus Technologies","Provider of technology products and services. The company\'s products includes Aequus VRS which provides video relay services for the Deaf and hard-of-hearing community under the brand name Snap!VRS, Aequus DPS which develops and markets digital publishing services designed to improve learning outcomes for all students, including students with special needs and Aequus EKS which partners with technology providers to encode content with knowledge for intelligent adaptation for unique user needs, business processes, and decision making applications.","""digital publishing"" ""video relay"" ""information management"" ""electronics equipment"""
"Oncoscope","Developer of clinical optical imaging applications. The company develops optical imaging systems which provides images and information on tissue microstructure for the purpose of epithelial tissues in the oral cavity, esophagous, stomach, colon, lung, cervix and bladder.","""Optical imaging"" tissue microstructure"
"Sofratev","Provider of audio, video and broadcast solutions for Hz, Satellite and web customers.","audio, video, broadcast, satellite, web"
"Modem Art","Developer of system-on-a-chip integrated circuit. The company develops integrated circuit for wideband and broadband communications systems focusing on baseband processes for third generation terminals and headsets.","""integrated circuit"" ""Application Specific Semiconductor"" ""broadband communications system"""
"0-In Design Automation","Operator of an assertion-based verification company. The company develops and supports electronic design automation tools and functional verification products that help clients to verify multi-million gate application-specific integrated circuit and system-on-chip designs. Its system also automates the engineered methodologies.","""assertion-based verification"" ""electronic design automation"""
"Movl","Developer of applications for television and mobile device. The company provides to create applications to connect television and mobile via cloud on home networks.","""television application"" ""workout customization"" ""share video"""
"Morta Security","Provider of a cybersecurity platform. The company develops technology to counter advanced cybersecurity threats to large enterprises.","""cyber security platform"" ""cyber security"" ""cyber threat"" ""cyber defense"""
"Origin Medsystems","Developer and manufacturer of specialized endosurgery devices and instruments for orthopedic and general surgery. The company\'s first product, the Cement Extraction System is used for replacement of artificial hips.","""artificial hip"" ""surgical device"" endosurgery"
"Vivace Semiconductor","Developer of media processing chips for the needs of consumer market segments. The company provides chips which supports a range of video and audio standards.","""media processing chip"" ""video audio chip"" ""media semiconductor"""
"3Com","Provider of secure, converged voice and data networking solutions that enable customers to manage voice, video, and data in a secure network environment. The company\'s products and services include security systems, such as intrusion prevention systems, network access control systems, and firewalls; Internet protocol (IP) telephony that includes IP telephony platforms, convergence application suite, and IP phones; and networking infrastructure products comprising local area network (LAN) switches, routers and gateways, mobility and wireless LAN, network and security management. In addition, the company offers a range of professional services, such as assessment and design, project management, training and certifications, installation, and integration services.","""computer communications equipments"" ""secure network"" ""intrusion prevention systems"" installations"
"Press Play","Operator of a game-development studio. The company creates online games for multiple platforms, including the Internet, XBox and mobile devices. The company is the creator of ""Max: The Curse of Brotherhood,"" ""Tentacles: Enter the Dolphin"" and ""Max and the Magic Marker.""","""gaming service"" ""multiple platform games"" ""online game"""
"Everstream","Provider of enterprise business software and engineering services. The company offers enterprise software such as Data Suite, which provides architecture for data extraction, transformation, loading and storage of data.","""cable television operator"" ""enterprise software"" ""productivity software"""
"Othera Pharmaceuticals","Developer of proprietary ophthalmic drugs. The company offers products such as OT-551 for geographic atrophy and dry age-related macular degeneration and OT-440, a neuroprotectant for glaucoma.","""ophthalmic drug"" ""drug developer"" ""geographic atrophy"" ""macular degeneration"""
"Image Integration SystIems","Developer of cost-effective document management services. The company focuses on development, enhancement, maintenance, implementation and support of its docusphere services for accounts payable automation.","""information technology"" ""automation service"" ""financial service"""
"Daylife","Provider of a platform for curating, discovering and combining content. The company\'s platform serves some of the media brands and consumer destination websites, including USA Today, Turner Sports, Sky News and the Washington Post.","""content discovery"" ""cloud publishing"" aggregator"
"Enigma Software Productions","Developer of real-time strategy games. The company provides games of different genres across multiple platforms.","""IP Incubation"" ""online games"" ""Development and Porting"""
"SonicLiving","Provider of a social platform that connects users to music concerts and events  based on their social media preferences. The company connects events and people all around the Internet, taking into account context, taste, social graph activity and event type.","""consumer service"" ""music concerts"" ""social media preferences"""
"PriceMinister","Owner and operator of e-commerce websites and online communities. The company offers private and professional users a marketplace to trade various products, including books, videos, CDs, DVDs and games, electronics, clothes, childcare products, apparel, home and garden products, automobiles and many other products.","""e-commerce"" shopping ""online shopping"" marketplace"
"IBI Israel Biomedical Innovations","Developer of surgical products and medical devices. The company develops devices fastens a thin net beneath the organs in a woman’s pelvic area, which have collapsed because of age or childbirth.","""surgical products"" ""tissue fixation"" ""women organs"""
"Rissington Breedline","Provider of sheep breeding, rearing and genetics services. The company engages in the research and development of sheep and cattle genetics and breeds for farming and food industries.","""sheep husbandry"" ""animal farming"" ""sheep breeding"" ""animal husbandry"""
"Tail-f Systems","Provider of configuration management and network automation software. The company creates an abstraction layer between network devices and centralized network control software.","""network automation software"" ""configuration management"" ""network device"""
"Leisure Links International","Operator of Golf Club. The company operates as a golf club in Hampshire.","""golf club"" ""leisure facility"" game"
"Yitran Communications","Provider of powerline communication (PLC) technology for command and control applications. The company\'s technology is used in applications including energy management and demand response, automated meter reading/management (AMM/AMR), home/building automation, switching and lighting, white good appliances, HVAC control, remote meter reading and street light control. It also designs, develops and markets PLC integrated circuits.","""communication technology"" ""energy management"" ""integrated circuit"""
"Colibrys","Supplier of standard and semi-custom MEMS based motion sensors. The company undertakes design, development, wafer fab manufacture, packaging and test of MEMS components. It mainly serves energy, aerospace, industrial and instrumentation markets.","Microelectromechanical ""MEMS sensor"" ""motion sensor"""
"Opsmatic","Provider of tools for professional operations. The company\'s technology helps professionals to complete their tasks in a strategic manner thus keeping performance, deployments and downtime under check.","""professional operation"" ""workflow software"" ""performance management"""
"HF2","Developer of a photovoltaic power plant. The company sells energy to the market and is also entitled to the Italian GSE feed-in tariff system. The develops photovoltaic power plant that is used to reduce CO2 emissions.","""renewable energy"" ""photovoltaic power"""
"Aeronamic","Provider of products and services to the aerospace industry. The company offers airflow valves, air turbine starters, centrifugal load compressors, cooling turbines and re-circulation fans among other products. It also offers maintenance, repair and overhaul services.","""aircraft components"" ""aerospace industry"" ""airflow valves"" ""air turbine starters"""
"Ascendis Pharma","Developer of pro-drug technology for endocrinology, cardiovascular and central nervous system disorders. The company develops a prodrug technology, TransCon, which conjugates the drug compound to a carrier molecule in a reversible fashion. It also provides transient conjugation technology, long-acting prodrugs of proteins, peptides and small molecules.","""drug-technology"" ""conjugation technology"" ""drug compound"" ""carrier molecule"" prodrug"
"VHA Long Term Care","Provider of long-term health care facilities.",""
"Sage Electrochromics","Manufacturer and seller of insulating glass units and control systems to window and skylight manufacturers. The company also provides windows, skylights, and curtain walls for commercial and institutional buildings. It offers its products to owner-occupied office spaces, museums, libraries, art galleries, health care facilities, religious facilities, aviation facilities, high-tech or image buildings, and atriums and overhead daylight openings.","""insulated glass"" ""curtain walls"" skylight ""overhead daylight"""
"Cortus Energy","Producer of non-fossil fuel products. The company has developed a gasification process called WoodRoll, to produce synthetic gas with a high heat value from bio fuels.","""gasification technology"" ""non-fossil fuel"" ""synthetic gas"" ""high heat value gas"" ""energy production"""
"Handmark","Developer of mobile media services for mobile devices. The company offers Tantao News Mobile Reader for BlackBerry smartphones that features global and domestic news generated by Chinese news sources.","""entertainment tool"" ""mobile reader"" ""signature rating"" ""online reservation"" database"
"BroadReach Partners","Provider of business development consulting services. The company provides business development consulting services like sales pipeline development, prospect nurturing and conversion, and field marketing integration to businesses to improve their efficiency.","""sales development"" ""revenue improvement"" ""financial consultancy service"""
"Hipster","Provider of a web platform for answering questions and queries of users. The company provides social networking services.","""web platform"" ""answer provider"" ""query blog"""
"Mosaic Technologies","Developer of DNA-based diagnostic products for the blood and plasma-screening, clinical testing research markets. The company develops Acrydite reagent and several associated chemistries for linking DNA probes to solid phases, such as beads, microtiter plates and slides-both glass and plastic. The company\'s product line, EZ-RAY, is a specialty coated glass microscope slide designed for the fabrication of DNA microarrays and also include kits, which contain coated printed slides and control reagents used to verify and calibrate array fabrication procedures.","""DNA amplification"" ""microscope slide"" microarrays ""control reagents"" ""fabrication procedures"""
"Bragster","Provider of an online entertainment platform. The company provides social networking platform that enables the user perform dares and challenges.","challenge ""social network"" dare"
"Oxford Archdigital","Provider of information management services to museums, archaeologists, local authorities and other heritage bodies. The company provides information which includes images, spatial data, web pages, electronic documents and structured text.","""information management"" ""heritage bodies"" archaeologists"
"FASMA Technologies","Developer of a single-laser system for data transfer sector. The company has developed a single-laser system that compresses a large amount of computer data into one fiber optic with the help of multiple colors.","""data transfer"" ""single laser system"" ""data compression"" ""fiber optic"""
"Adamas Pharmaceuticals","Developer of small molecule advantaged therapeutics to treat neurological and infectious diseases. The company also develops novel extended release and combination products for symptomatic treatment of dementia.","""small molecule"" ""advantaged therapeutic"" ""neurological disease"" ""symptomatic treatment"" dementia"
"FreeEdgar","Provider of products and services that deliver financial data to analysts and investors. The company engages in the delivery and extraction of critical information from electronic filings made by public companies and investment managers to the SEC.","""electronic filings"" ""stock information"" ""financial data"""
"NeoAccel","Provider of end to end security solution for cloud computing. The company develops software technology combining the performance of IPsec VPNs with the benefits of SSL VPN technology.","""INTERNET PROTOCOL"" ""VIRTUAL PRIVATE NETWORK"" ""NETWRORK SECURITY"" VPN IP""SECURED SOCKET LAYER"" SSL"
"GotVoice","Provider of voice messaging services for phone carriers, IP communications providers, and voicemail solution providers. The company offers GotVoice Premium 40 and GotVoice Premium Max that convert cell, home, and work voicemail to text and send it to phone and email.","""voice messaging"" ""phone carrier"" ""voicemail solution"" ""voicemail as text"""
"Redspin","Provider of information security assessments, risk management and compliance services. The company specializes in IT and web application security assessments, HIPAA security risk analysis, penetration testing and mobile device security assessments.","""information security"" ""information security assessments"" ""penetration testing"" ""security audits"""
"POP Medical Solutions","Operator of a medical device company. The company engages in providing a device which is used in pelvic organ prolapse repairing.","""pelvic organ"" ""pelvic floor muscles"" ""internal organs"" urinary"
"Golden Capital Network","Operator of a non-profit networking, training and consulting company. The company’s services include venture capital conference series, venture communities economic development franchise, regional and cross-regional entrepreneurship training and development programs, V3 regional and cross-regional entrepreneur program, investor networking and showcasing, entrepreneur coaching and mentoring, public policy leadership and advising and early stage company showcasing.","""non profit"" ""consultation services"" ""cross regional entrepreneurship training"" ""training services"""
"InGrid Solutions","Provider of software for residential heating, ventilation and air conditioning contractors. The company streamlines day-to-day business processes of construction trade contractors, allowing them to digitize records, report on business performance and improve customer service through cloud software.","""residential heating"" ""business processes"" ""cloud software"" ""record digitalization"""
"Chief Technology Advisors","Creator of social media application enabling users to share opinions, enhanced by mood indicators. The company is the creator of a mobile application that enables users to tag an emotion with each post, by selecting a representative mood color for the tag. The application allows Facebook and Twitter integrations.","""social media application"" emotion ""share opinions"""
"Netcentives","Provider of a suite of programs for relationship marketing technologies and services. The company delivers personalized email, rewards and recognition marketing technologies and programs that increase efficiency and productivity.","""direct marketing service"" ""relationship marketing"" ""marketing technology"""
"Tannerie de Villefranque","Operator of a leather processing company. The company engages in tanning, dressing and dyeing of leather. It offers various types of leather for shoes, accessories and furniture industries.","leather ""leather tanning"" ""leather dressing"""
"R-coms","Creator of custom web communication products. The company works with clients to create products for the Web, including games, websites or social-discovery applications, focusing on the client’s target audience.","""location based"" ""dating application"" ""web communication product"""
"MogoTix","Provider of a mobile ticketing service for events. The company\'s services are used to send event tickets to attendees\' cell phones through text messages for parties, fundraisers and conferences.","""mobile ticketing service"" ""event website"" ""mobile QR code"" ""event hosting"" ""ticket distribution"""
"Mariner Health","Provider of sub-acute medical services. The company provides long-term health care services offering assistance through nursing facilities and long-term acute care hospitals which includes daily living, therapy and rehabilitation.","""medical services"" ""long-term health care"" ""daily living"" therapy"
"Axonia Medical","Developer of tissue-engineered medical products for peripheral & central nervous system injury. The company produces living, functional tissue-engineered nerve grafts in the lab that can replace and repair damaged parts of the nervous system. It has developed technique for production of axons (instead of stem cells), the long thin parts of nerve cells that carry signals to distant target cells. Its regenerative treatments use neurons from patients or cadavers to grow long, integrated tracks of axons in the lab and then implants this tissue into the body, which then enables or accelerates the body’s natural repair system.","""regenerative treatment"" ""axon production"" ""nervous tissue regeneration"" ""nervous system injury"" ""medical product"""
"Seek & Adore","Operator of an online boutique for artists and designers. The company provides an e-commerce platform for designers and customers who are looking to discover and buy things such as homewares, jewellery, fashion accessories and gifts.","""fashion accessories"" ""handmade gifts"" homewares"
"PTS Messaging","Provider of Internet call waiting and voice mail services. The company\'s services includes caller ID, personal greetings, call screening, call answer, call forwarding, voice mail and e-mail or phone-message retrieval.","""voicemail"" ""call screening"" ""software services"""
"SFG Technologies","Provider of software systems and solutions focusing on revenue cycle services for municipalities and power utilities. The company\'s utility management system integrated software consists of various modules, such as customer service, requests for service, service orders, credit collections and deposits, billing and rate management, payment processing and meter reading and consumption.","""software solutions""""service orders""""meter reading software""""energy software"""
"FAD IO","Provider of social network platform. The company provides social network for products and shopping that helps users find better products through community curation, users get ratings, ideas and insights for product purchases from real people.","""social network platform"" community ""community curation"" ratings shopping"
"Ockham Technologies","Developer of internet applications for e-commerce business solutions. The company uses integrated Sales Management Technologies to solve complex business problems, expanding on the \'Okham\'s Razor\' theory of problems solving.","""integrated sales management"""
"Nextime Solutions","Provider of software services for businesses. The company provides heavy-duty off-the-shelf-appointment system, which is used in many sectors, such as health care, regulatory actions, as well as the financial sector.","""software service"" ""business software"" ""information management"""
"Triacta Power Technologies","Developer of energy management systems. The company develops energy systems which enables firms to reduce energy consumption and energy costs.","""energy management system"" ""smart submetering"" ""electrical sub metering"""
"Colloquis","Producer of self-service tools that enable to answer customer questions with a natural language processing technology. The company provides interactive agent technology and conversational online business solutions.","""language processing"" ""conversational online"" ""agent technology"" ""messaging platform"""
"3Leaf Systems","Provider of virtualization technology for enterprise data centers. The company provides architecture that delivers system level virtualization to enable mainframe-class capabilities for commodity servers.","""virtualization architecture"" ""server virtualization"" ""system level virtualization"""
"BuysideFX","Provider of a foreign exchange trading platform aimed at the institutional money manager market. The company is a developer of trade-optimization software designed to help buy-side firms improve pre-trade processes, reduce risk and make side-by-side analyses of dealers using key criteria, or measuring them against benchmarks and market averages.","""currency conversion"" ""foreign exchange market"" ""foreign exchange trading"" ""FX"" ""trading"" ""currency trading"""
